用户ID|评论|点赞数
网易河南省网友--游走猫咪： |习大大访英的足球之旅，参观曼城的确是体育外交的一部分，应该去。这也必将带动中英足球新一轮更加紧密的合作，为中国足球的改革和发展带来新的契机，赞赞赞|0
网易山东省济南市网友--日照女汉子： |社会的发展与进步不仅仅体现在经济上的快速发展，中国要全面深化改革，必须要牢牢抓住全面两个字，习大大访英会见球星一举，体现了大大对中国未来体育事业方面的期许，另一个方面也对深化足球改革提供一个平台。|0
网易山东省济南市网友--日照女汉子： |中英两国元首像两个亲密的朋友，漫步乡间，酒吧小酌，体现的是一种亲切，一种友谊。这显示了中英两个大国平等友好的关系，这是中国国际地位的体现。习大大与英国首相举杯畅饮，也预示着中英的外交关系将更近一步，因为越是步入寻常的地方，就越能证明两国关系的亲密。|0
网易山东省济南市网友--日照女汉子： |习总立足长远.面向未来.在国际事务中.中国必将发挥更大的作用.也必须发挥更大的作用,我们对习主席实现中华民族伟大复兴充满希望!主席实现中华民族伟大复兴充满希望!|0
网易山东省济南市网友--萍水之染得： |此次习主席的英伦之行成果斐然，中英务实合作更上层楼，两国达成了长长的成果清单，签订了引发世界惊叹的经贸投资大单，在两国经济、文化、体育方面也将步入一个新的深层次的交流。|0
网易辽宁省阜新市网友 <span id=B6K80AMT class=cGray>ip：60.18.*.*：</span>|本次访问，两国就足球人才的培养、教练和裁判员的培训等领域进行了合作。相信中国足球会得到更好的发展，祝愿国足能在短时间内跻身世界强队。|0
网易辽宁省阜新市网友 <span id=B6K7VNGN class=cGray>ip：60.18.*.*：</span>|英国是除香港外最大的人民币境外交易中心，也是开办孔子学院最多的国家，本次习大大访英，中英两国必将在经济贸易、文化交流上更进一步。|0
网易辽宁省阜新市网友 <span id=B6K80HSF class=cGray>ip：60.18.*.*：</span>|英国是除香港外最大的人民币境外交易中心，也是开办孔子学院最多的国家，本次习大大访英，中英两国必将在经济贸易、文化交流上更进一步。|0
网易辽宁省阜新市网友 <span id=B6K7USG6 class=cGray>ip：60.18.*.*：</span>|中英两国是东西方的两大文明代表，两国的文化交流互鉴丰富了各的自文明成果、促进了社会进步，也将为人类社会发展做出了卓越贡献。|0
网易辽宁省阜新市网友 <span id=B6K7S96K class=cGray>ip：60.18.*.*：</span>|中英两国是东西方的两大文明代表，两国的文化交流互鉴丰富了各的自文明成果、促进了社会进步，也将为人类社会发展做出了卓越贡献。|0
网易山东省烟台市网友--自强不吸q： |习大大此访，不仅开启了中英经济贸易等方面合作关系的“黄金年代”，而且更将开启中英两国足球等文化体育交流的 “钻石时代”，希望中国足球快速发展，早日步入世界先进行列。|0
网易山东省烟台市网友--自强不吸q： |在习大大的大力支持下，中英两国在足球签署了相关协议！这是中英关系的重要体现之一！也希望中英两国合作越来越密切，为实现中国的“足球梦”而努力拼搏。|0
网易山东省烟台市网友--自强不吸q： |习大大如此关心足球，中国足球大有希望，希望中国足球也越来越强大、冲出亚洲、走向世界！|0
网易辽宁省网友--三岔口广平： |中英两国元首像两个亲密的朋友，漫步乡间，酒吧小酌，体现的是一种亲切，一种友谊。这显示了中英两个大国平等友好的关系，这是中国国际地位的体现。习大大与英国首相举杯畅饮，也预示着中英的外交关系将更近一步，因为越是步入寻常的地方，就越能证明两国关系的亲密。|0
网易辽宁省网友--三岔口广平： |在亲切、自然、祥和的状态下，中英两国的领袖关系更为亲善和谐，中英关系也更加牢固友好。习大大让我们看到他随和、亲切、从容的一面，在英国乡村酒吧喝酒，跟卡梅伦吃炸鱼薯条，用如此轻松的形式来巩固两国关系，开启了中英发展的“黄金时代”，外交的成功必将会在国内的发展中得到体现。|1
网易辽宁省网友--三岔口广平： |在亲切、自然、祥和的状态下，中英两国的领袖关系更为亲善和谐，中英关系也更加牢固友好。习大大让我们看到他随和、亲切、从容的一面，在英国乡村酒吧喝酒，跟卡梅伦吃炸鱼薯条，用如此轻松的形式来巩固两国关系，开启了中英发展的“黄金时代”，外交的成功必将会在国内的发展中得到体现。|1
网易辽宁省沈阳市网友 <span id=B6K3HIRD class=cGray>ip：113.233.*.*：</span>|中国在变，世界对中国的看法也在变。在很多外国人眼里，作为全球第二大经济体，中国现在可是有钱的国家，世界各地都能看到不少中国人“买买买”的身影。　　不过，我们自豪的同时也应该有清醒的认识，那就是“中国仍然是世界上最大的发展中国家”——经济总量虽大，但中国的人口更多，很多人还生活在贫困线以下。|0
网易辽宁省沈阳市网友 <span id=B6K3G85E class=cGray>ip：113.233.*.*：</span>|中国在变，世界对中国的看法也在变。在很多外国人眼里，作为全球第二大经济体，中国现在可是有钱的国家，世界各地都能看到不少中国人“买买买”的身影。　　不过，我们自豪的同时也应该有清醒的认识，那就是“中国仍然是世界上最大的发展中国家”——经济总量虽大，但中国的人口更多，很多人还生活在贫困线以下。|0
网易山东省青岛市手机网友--情沩你伤： |支持习大大|92
网易辽宁省丹东市网友 <span id=B6K2H094 class=cGray>ip：218.61.*.*：</span>|此次习主席的英伦之行成果斐然，中英务实合作更上层楼，两国达成了长长的成果清单，签订了引发世界惊叹的经贸投资大单，在两国经济、文化、体育方面也将步入一个新的深层次的交流。|0
网易辽宁省丹东市网友 <span id=B6K2G6D7 class=cGray>ip：218.61.*.*：</span>|两个文明国家之间除了加强经济上的互利合作，文化交流也同样重要。中英两国的文化都可以称得上是源远流长，两国文化的融合将为两国人民的交流奠定基础。|0
网易辽宁省丹东市网友 <span id=B6K2FAVM class=cGray>ip：218.61.*.*：</span>|中英庄园会晤没有领带，有的是平等的对话，欢声笑语，这种氛围更像是一次亲密朋友的聚会,如此亲民的习大大，相信在您的带领下，我们的国家必将更加强盛，民族必将复兴，人民生活必将更加幸福美好！|0
网易云南省昆明市网友 <span id=B6K28FKH class=cGray>ip：222.172.*.*：</span>|中国要全面深化改革，必须要牢牢抓住全面两个字，习大大访英会见球星一举，体现了大大对中国未来体育事业方面的期许，另一个方面也对深化足球改革提供一个平台。|0
网易甘肃省网友 <span id=B6K1ML6C class=cGray>ip：117.156.*.*：</span>|社会的发展与进步不仅仅体现在经济上的快速发展，中国要全面深化改革，必须要牢牢抓住全面两个字，习大大访英会见球星一举，体现了大大对中国未来体育事业方面的期许，另一个方面也对深化足球改革提供一个平台。|4
网易甘肃省网友 <span id=B6K1KFQ3 class=cGray>ip：117.156.*.*：</span>|在第二个十年的开局之年，习大大访英的成果和未来是两国合作发展的新机遇，也是世界和平稳定的新篇章。习主席的访问加强了中英交流，增进合作，推动双边关系发展。希望两国加强在体育界的合作，促进两国体育文化的发展。祝福祖国的伟大昌盛！|1
网易福建省福州市网友 <span id=B6K1GKCQ class=cGray>ip：218.5.*.*：</span>|此次，习大大访英的足球之旅，参观曼城的确是体育外交的一部分，应该去。这也必将带动中英足球新一轮更加紧密的合作，为中国足球的改革和发展带来新的契机，赞赞赞。|2
网易福建省福州市网友 <span id=B6K1A8CO class=cGray>ip：218.5.*.*：</span>|此次，习大大访英的足球之旅，参观曼城的确是体育外交的一部分，应该去。这也必将带动中英足球新一轮更加紧密的合作，为中国足球的改革和发展带来新的契机，赞赞赞。|6
网易福建省福州市网友 <span id=B6K19MB5 class=cGray>ip：218.5.*.*：</span>|此次，习大大访英的足球之旅，参观曼城的确是体育外交的一部分，应该去。这也必将带动中英足球新一轮更加紧密的合作，为中国足球的改革和发展带来新的契机，赞赞赞。|13
网易山东省德州市网友--成熟过后就是圆融： |中英庄园会晤将是历史性的，必将推进中英战略伙伴关系。|7
网易辽宁省丹东市网友--lizhaoyi： |习总书记亲民爱民，一切以人民的利益为首。相信习总将带领我们走向更加美好的明天！期待两国文化上有深层次合作交流。支持习总！|1
网易辽宁省丹东市网友--lizhaoyi： |今年是中英全面战略伙伴关系第二个10年的开局之年，中英关系呈现持续上升势头，正面临新的重要发展机遇。中国正在开启与英国合作的新篇章，双方合作将进入一个新时代。两国的合作有助于深化中英关系、促进世界和平！|0
网易四川省成都市网友 <span id=B6K0OMVP class=cGray>ip：182.138.*.*：</span>|习大大好样的|0
网易四川省巴中市网友 <span id=B6K0NQ9B class=cGray>ip：218.88.*.*：</span>|两个文明国家之间除了加强经济上的互利合作，文化交流也同样重要。期待两国文化上有深层次合作交流，希望此访能促进两国体育文化的发展。|0
网易四川省雅安市网友 <span id=B6K05PKP class=cGray>ip：182.132.*.*：</span>|希望两国加强在体育界的合作，促进两国体育文化的发展|0
网易新疆乌鲁木齐市网友 <span id=B6JVQ95K class=cGray>ip：61.138.*.*：</span>|真爱|0
网易海南省海口市网友 <span id=B6JVMB37 class=cGray>ip：221.182.*.*：</span>|赞。|0
网易安徽省芜湖市网友 <span id=B6JVJF2G class=cGray>ip：60.169.*.*：</span>|习主席的国事访问利国利民，坚决拥护习主席！我们祖国会越来越繁荣昌盛！|0
网易安徽省芜湖市网友 <span id=B6JVHGMS class=cGray>ip：60.169.*.*：</span>|习主席的国事访问利国利民，坚决拥护习主席！我们伟大祖国会越来越繁荣昌盛！|0
网易山东省烟台市网友--尘埃好： |习大大国际国内口碑都没的说，人民的好领导|0
网易浙江省杭州市网友 <span id=B6JV9KKV class=cGray>ip：60.191.*.*：</span>|爱我中华耀我国威！|0
网易福建省漳州市网友--zh一： |希望两国加强在体育界的合作，促进两国体育文化的发展。|0
网易辽宁省网友 <span id=B6JUGE69 class=cGray>ip：218.60.*.*：</span>|在第二个十年的开局之年，习大大访英的成果和未来是两国合作发展的新机遇，也是世界和平稳定的新篇章。习主席的访问加强了中英交流，增进合作，推动双边关系发展。希望两国加强在体育界的合作，促进两国体育文化的发展。祝福祖国的伟大昌盛！|0
网易广东省珠海市网友 <span id=B6JU9Q0G class=cGray>ip：112.90.*.*：</span>|社会的发展与进步不仅仅体现在经济上的快速发展，中国要全面深化改革，必须要牢牢抓住全面两个字，习大大访英会见球星一举，体现了大大对中国未来体育事业方面的期许，另一个方面也对深化足球改革提供一个平台。|0
网易广东省珠海市网友 <span id=B6JTPS9G class=cGray>ip：112.90.*.*：</span>|社会的发展与进步不仅仅体现在经济上的快速发展，中国要全面深化改革，必须要牢牢抓住全面两个字，习大大访英会见球星一举，体现了大大对中国未来体育事业方面的期许，另一个方面也对深化足球改革提供一个平台。|0
网易天津市网友 <span id=B6JTSJ2H class=cGray>ip：117.14.*.*：</span>|中英两国都有很多想要从对方身上学到的东西，中国学习英国先进的技术和管理经验；同时英国也在学习中国人的勤劳务实和中国的教育理念。期待习主席此访能够让中英间的相互学习、借鉴的风气越来越浓。|0
网易天津市网友 <span id=B6JTN1F1 class=cGray>ip：117.14.*.*：</span>|亲戚越走越亲、朋友越走越近。中英关系之所以发展的越来越好，在于中英两国政府都能以战略眼光推进两国关系发展，在于中英两国人民能够处惊不乱始终相互理解、支持。习总集体英国友人，充分体现中国对促进发展中英关系的重视|0
网易河北省邯郸市网友--小vampire： |习近平主席访英之旅定会促进两国关系进入一个新时代。|0
网易陕西省西安市网友--唯美X仙尊： |通过这次访问推动中英友好关系迈上新台阶充满期待！|0
网易陕西省西安市网友--唯美X仙尊： |务实合作，共同发展。展中华民族智慧。习大大的每次出访总能带来强烈的反响，这也证明了我国的国际影响力在日益提高|0
网易陕西省西安市网友--唯美X仙尊： |“高规格”接待映衬着高水平的中英关系，同时也充分彰显了中英关系在国际舞台上的重要影响。|0
网易陕西省西安市网友--唯美X仙尊： |亲和，从容，平易近人，这才是作为我们东方大国领导人应有的形象。点赞|0
网易山东省青岛市手机网友--爱要拿出心： |习大大好样哒！|0
网易辽宁省抚顺市网友--职业伴郎： |中国足球必有雄起的一天|0
网易安徽省芜湖市网友 <span id=B6JSQBHT class=cGray>ip：60.169.*.*：</span>|希望两国加强在体育界的合作，促进两国体育文化的发展。|0
网易陕西省西安市网友--唯美X仙尊： |习主席和英国首相尽显亲民，显示出中国领导人对平民百姓的关心和爱！|0
网易山东省滨州市网友--guz1lideaoman1： |领导人不只是有气场 有事也很可爱的 比如我们的习大大|0
网易内蒙古锡林郭勒盟二连浩特市网友 <span id=B6JSGQDV class=cGray>ip：221.199.*.*：</span>|希望此访能促进两国体育文化的发展。|0
网易山东省滨州市网友--guz1lideaoman1： |习主席到曼彻斯特空港城进行参观考察，将带动中企开拓英国市场。|0
网易内蒙古锡林郭勒盟二连浩特市网友 <span id=B6JSEL33 class=cGray>ip：221.199.*.*：</span>|希望此访能促进两国体育文化的发展。|6
网易山东省滨州市网友--guz1lideaoman1： |习主席体验英式美食，可爱可亲！|0
网易甘肃省兰州市网友--WEN89阳阳： |促进中英两国在体育界的合作。|0
网易浙江省杭州市网友--奥特曼XSA龙的传人： |习大大厉害|0
网易内蒙古锡林郭勒盟二连浩特市网友 <span id=B6JS954Q class=cGray>ip：221.199.*.*：</span>|此访希望促进两国体育文化的发展。|8
网易广东省佛山市网友--喝水都会肥： |曼切斯特是个好地方|1
网易浙江省杭州市网友--奥特曼XSA龙的传人： |习大大厉害|0
网易山东省滨州市网友--guz1lideaoman1： |习大大喝啤酒，帅！|0
网易内蒙古锡林郭勒盟二连浩特市网友 <span id=B6JRODS9 class=cGray>ip：221.199.*.*：</span>|支持习总书记辛勤劳动，人民感谢您！永远支持您！|0
网易山东省滨州市网友--guz1lideaoman1： |足球依旧是主席的最爱，希望在他的关注和支持下，中国足球能得到长足进步。|0
网易辽宁省网友--125991787： |两个文明国家之间除了加强经济上的互利合作，文化交流也同样重要。期待两国文化上有深层次合作交流。|0
网易山东省滨州市网友--guz1lideaoman1： |炸鱼和炸薯条拉近了习大大和普通百姓的距离，和蔼可亲！|0
网易山东省滨州市网友--guz1lideaoman1： |看到主席此次访美，我们对中英关系开创“黄金时代”充满信心。|0
网易河南省新乡市网友--只容得下你： |老习不错，我们支持他！|0
网易辽宁省网友--liaoningqingniande： |习大大，你为民众带来荣耀，民众为你骄傲！两国领导人交流与合作，将记入史册。中英友谊长远，合作永恒！|0
网易山东省滨州市网友--guz1lideaoman1： |习主席访英带动了中英两国交往合作，促进了中国制造走出国门，走向世界。|0
网易广东省深圳市网友--SHINESTYLE： |习大大，国足也需要您这位伟大球迷的关注！|0
网易山东省滨州市网友--guz1lideaoman1： |习主席在酒吧随性但不随意，简约但不简单，赞!|0
网易辽宁省网友--125991787： |此次习主席的英伦之行成果斐然，中英务实合作更上层楼，两国达成了长长的成果清单，签订了引发世界惊叹的经贸投资大单，双方就开创面向２１世纪全球全面战略伙伴关系“黄金时代”达成共识。|0
网易山东省滨州市网友--guz1lideaoman1： |习主席访英进一步奠定了中国大国地位，全面开启中英战略合作关系。|0
网易山东省滨州市网友--guz1lideaoman1： |习主席举止大方、和蔼可亲，体现了中国大国外交风范。|0
网易山东省滨州市网友--guz1lideaoman1： |习主席举止大方、和蔼可亲，体现了中国大国外交风范。|0
网易陕西省西安市网友--唯美X仙尊： |中国人民正在全面推进依法治国，既吸收中华法制的优良传统，也借鉴世界各国法治的有益做法，中英两国立法机关可以加强交流互鉴。|0
